Timestamp	Lambda1	Lambda2	Lambda3	Lambda4	Lambda5	Lambda6
6/2/2023 11:05:59.13837	1518.18973	1528.07432	1538.09425	1547.91102	1557.61202	1567.49944
6/2/2023 11:05:59.63837	1518.19017	1528.07431	1538.09528	1547.91298	1557.61227	1567.50053
6/2/2023 11:06:00.13837	1518.19082	1528.07244	1538.09403	1547.91080	1557.61413	1567.49990
6/2/2023 11:06:00.63837	1518.19092	1528.07227	1538.09373	1547.91197	1557.61256	1567.50053
6/2/2023 11:06:01.13837	1518.19156	1528.07521	1538.09483	1547.91061	1557.61380	1567.49977
6/2/2023 11:06:01.63837	1518.19182	1528.07593	1538.09536	1547.91050	1557.61450	1567.49986
6/2/2023 11:06:02.13837	1518.19081	1528.07320	1538.09453	1547.91177	1557.61319	1567.50032
6/2/2023 11:06:02.63837	1518.19011	1528.07429	1538.09577	1547.91185	1557.61480	1567.49902
6/2/2023 11:06:03.13837	1518.19108	1528.07527	1538.09499	1547.91142	1557.61391	1567.50026
6/2/2023 11:06:03.63837	1518.19133	1528.07423	1538.09518	1547.91262	1557.61306	1567.50113
6/2/2023 11:06:04.13837	1518.19032	1528.07463	1538.09387	1547.91190	1557.61360	1567.49937
6/2/2023 11:06:04.63837	1518.18826	1528.07447	1538.09373	1547.91064	1557.61333	1567.4987
6/2/2023 11:06:05.13837	1518.18888	1528.07301	1538.09484	1547.91062	1557.61222	1567.50008
6/2/2023 11:06:05.63837	1518.18843	1528.07366	1538.09459	1547.91027	1557.61222	1567.50085
6/2/2023 11:06:06.13837	1518.18980	1528.07364	1538.09502	1547.91310	1557.61469	1567.50065
6/2/2023 11:06:06.63837	1518.19067	1528.07472	1538.09565	1547.91162	1557.61384	1567.4996
6/2/2023 11:06:07.13837	1518.18968	1528.07438	1538.09621	1547.91056	1557.61254	1567.49972
6/2/2023 11:06:07.63837	1518.19305	1528.07438	1538.09372	1547.91157	1557.61256	1567.50001
6/2/2023 11:06:08.13837	1518.18824	1528.07498	1538.09466	1547.90985	1557.61369	1567.49919
6/2/2023 11:06:08.63837	1518.19034	1528.07395	1538.09702	1547.91139	1557.61289	1567.50128
6/2/2023 11:06:09.13837	1518.19111	1528.07425	1538.09480	1547.91065	1557.61174	1567.50094
6/2/2023 11:06:09.63837	1518.18943	1528.07444	1538.09341	1547.91031	1557.61172	1567.50018
6/2/2023 11:06:10.13837	1518.19059	1528.07334	1538.09404	1547.91095	1557.61364	1567.50029
6/2/2023 11:06:10.63837	1518.19066	1528.07403	1538.09454	1547.91229	1557.61288	1567.50031
6/2/2023 11:06:11.13837	1518.19182	1528.07304	1538.09476	1547.91176	1557.61371	1567.50002
6/2/2023 11:06:11.63837	1518.18911	1528.07392	1538.09652	1547.91153	1557.61280	1567.49871
6/2/2023 11:06:12.13837	1518.18746	1528.07292	1538.09461	1547.91153	1557.61276	1567.49992
6/2/2023 11:06:12.63837	1518.19068	1528.07424	1538.09471	1547.91287	1557.61331	1567.50022
6/2/2023 11:06:13.13837	1518.19050	1528.07366	1538.09447	1547.91144	1557.61330	1567.49949
6/2/2023 11:06:13.63837	1518.19043	1528.07357	1538.09500	1547.91264	1557.61518	1567.49837
6/2/2023 11:06:14.13837	1518.19065	1528.07427	1538.09529	1547.91250	1557.61343	1567.49998
6/2/2023 11:06:14.63837	1518.18987	1528.07367	1538.09479	1547.91153	1557.61234	1567.50102
6/2/2023 11:06:15.13837	1518.19101	1528.07328	1538.09436	1547.91163	1557.61274	1567.49961
6/2/2023 11:06:15.63837	1518.19063	1528.07258	1538.09526	1547.91163	1557.61358	1567.50009
6/2/2023 11:06:16.13837	1518.19288	1528.07403	1538.09519	1547.91262	1557.61280	1567.50013
6/2/2023 11:06:16.63837	1518.18930	1528.07519	1538.09403	1547.91285	1557.61333	1567.5005
6/2/2023 11:06:17.13837	1518.19012	1528.07400	1538.09570	1547.91187	1557.61423	1567.49957
6/2/2023 11:06:17.63837	1518.19022	1528.07406	1538.09492	1547.91072	1557.61214	1567.4997
6/2/2023 11:06:18.13837	1518.18921	1528.07309	1538.09445	1547.91082	1557.61212	1567.50031
6/2/2023 11:06:18.63837	1518.19044	1528.07310	1538.09479	1547.91251	1557.61271	1567.50122
6/2/2023 11:06:19.13837	1518.18972	1528.07354	1538.09582	1547.91140	1557.61353	1567.498
6/2/2023 11:06:19.63837	1518.19123	1528.07457	1538.09494	1547.91360	1557.61354	1567.50047
6/2/2023 11:06:20.13837	1518.19015	1528.07451	1538.09477	1547.91165	1557.61194	1567.50072
6/2/2023 11:06:20.63837	1518.19035	1528.07372	1538.09430	1547.91199	1557.61286	1567.50067
6/2/2023 11:06:21.13837	1518.19068	1528.07380	1538.09450	1547.91102	1557.61140	1567.50046
6/2/2023 11:06:21.63837	1518.19023	1528.07486	1538.09483	1547.91087	1557.61369	1567.50096
6/2/2023 11:06:22.13837	1518.19078	1528.07389	1538.09503	1547.91240	1557.61340	1567.49997
6/2/2023 11:06:22.63837	1518.19183	1528.07528	1538.09376	1547.91105	1557.61331	1567.50071
6/2/2023 11:06:23.13837	1518.19034	1528.07404	1538.09457	1547.91250	1557.61307	1567.49964
6/2/2023 11:06:23.63837	1518.18926	1528.07277	1538.09408	1547.91053	1557.61198	1567.50004
6/2/2023 11:06:24.13837	1518.19158	1528.07405	1538.09517	1547.91268	1557.61426	1567.49969
6/2/2023 11:06:24.63837	1518.19081	1528.07358	1538.09455	1547.91201	1557.61292	1567.50053
6/2/2023 11:06:25.13837	1518.19041	1528.07387	1538.09418	1547.91133	1557.61247	1567.50057
6/2/2023 11:06:25.63837	1518.18935	1528.07460	1538.09488	1547.91119	1557.61307	1567.49966
6/2/2023 11:06:26.13837	1518.19148	1528.07389	1538.09442	1547.91250	1557.61340	1567.50071
6/2/2023 11:06:26.63837	1518.19204	1528.07447	1538.09476	1547.91017	1557.61318	1567.49957
6/2/2023 11:06:27.13837	1518.19007	1528.07425	1538.09421	1547.91089	1557.61371	1567.50071
6/2/2023 11:06:27.63837	1518.19122	1528.07522	1538.09476	1547.91156	1557.61286	1567.499
6/2/2023 11:06:28.13837	1518.19072	1528.07342	1538.09469	1547.91110	1557.61333	1567.49935
6/2/2023 11:06:28.63837	1518.18952	1528.07470	1538.09520	1547.91160	1557.61300	1567.49955
6/2/2023 11:06:29.13837	1518.18932	1528.07390	1538.09518	1547.91244	1557.61423	1567.50084
6/2/2023 11:06:29.63837	1518.19185	1528.07421	1538.09381	1547.91256	1557.61327	1567.50005
6/2/2023 11:06:30.13837	1518.18889	1528.07386	1538.09360	1547.91110	1557.61244	1567.50069
6/2/2023 11:06:30.63837	1518.19076	1528.07423	1538.09517	1547.91073	1557.61241	1567.50017
6/2/2023 11:06:31.13837	1518.19057	1528.07491	1538.09478	1547.91224	1557.61363	1567.49931
6/2/2023 11:06:31.63837	1518.18952	1528.07140	1538.09585	1547.91191	1557.61281	1567.50007
6/2/2023 11:06:32.13837	1518.19028	1528.07292	1538.09475	1547.91213	1557.61367	1567.49956
6/2/2023 11:06:32.63837	1518.18965	1528.07424	1538.09421	1547.91173	1557.61307	1567.50105
6/2/2023 11:06:33.13837	1518.19174	1528.07313	1538.09371	1547.91127	1557.61309	1567.50006
6/2/2023 11:06:33.63837	1518.18939	1528.07443	1538.09436	1547.91226	1557.61315	1567.49954
6/2/2023 11:06:34.13837	1518.19017	1528.07484	1538.09365	1547.91060	1557.61172	1567.50026
6/2/2023 11:06:34.63837	1518.19080	1528.07358	1538.09426	1547.91145	1557.61332	1567.49989
6/2/2023 11:06:35.13837	1518.19160	1528.07516	1538.09572	1547.91103	1557.61329	1567.49941
6/2/2023 11:06:35.63837	1518.19042	1528.07430	1538.09448	1547.91142	1557.61306	1567.49976
6/2/2023 11:06:36.13837	1518.18938	1528.07483	1538.09503	1547.91144	1557.61311	1567.49979
6/2/2023 11:06:36.63837	1518.18980	1528.07389	1538.09501	1547.91100	1557.61277	1567.49991
6/2/2023 11:06:37.13837	1518.19101	1528.07385	1538.09359	1547.91183	1557.61149	1567.50031
6/2/2023 11:06:37.63837	1518.19045	1528.07363	1538.09495	1547.91145	1557.61283	1567.5
6/2/2023 11:06:38.13837	1518.19102	1528.07494	1538.09547	1547.91069	1557.61283	1567.49913
6/2/2023 11:06:38.63837	1518.19058	1528.07317	1538.09392	1547.91167	1557.61434	1567.49996
6/2/2023 11:06:39.13837	1518.18993	1528.07480	1538.09461	1547.91234	1557.61358	1567.49951
6/2/2023 11:06:39.63837	1518.18921	1528.07389	1538.09458	1547.91082	1557.61385	1567.49992
6/2/2023 11:06:40.13837	1518.19087	1528.07353	1538.09497	1547.91159	1557.61318	1567.49997
6/2/2023 11:06:40.63837	1518.18862	1528.07259	1538.09394	1547.91150	1557.61271	1567.4995
6/2/2023 11:06:41.13837	1518.19128	1528.07403	1538.09432	1547.91235	1557.61366	1567.49931
6/2/2023 11:06:41.63837	1518.19013	1528.07424	1538.09466	1547.91166	1557.61422	1567.49931
6/2/2023 11:06:42.13837	1518.19071	1528.07424	1538.09492	1547.91188	1557.61260	1567.49872
6/2/2023 11:06:42.63837	1518.19048	1528.07389	1538.09482	1547.91093	1557.61295	1567.5
6/2/2023 11:06:43.13837	1518.19088	1528.07475	1538.09442	1547.91152	1557.61366	1567.49979
6/2/2023 11:06:43.63837	1518.18954	1528.07425	1538.09375	1547.91107	1557.61359	1567.50123
