Timestamp	Lambda1	Lambda2	Lambda3	Lambda4	Lambda5	Lambda6
6/2/2023 12:25:06.30507	1518.55816	1528.39938	1538.40212	1548.21366	1557.91201	1567.79415
6/2/2023 12:25:06.80507	1518.55768	1528.39878	1538.40234	1548.20989	1557.90567	1567.78839
6/2/2023 12:25:07.30507	1518.55910	1528.40069	1538.40159	1548.21137	1557.90644	1567.78636
6/2/2023 12:25:07.80507	1518.56103	1528.40047	1538.40600	1548.21478	1557.90936	1567.79389
6/2/2023 12:25:08.30507	1518.56024	1528.40176	1538.40557	1548.21594	1557.91347	1567.79731
6/2/2023 12:25:08.80507	1518.55908	1528.39889	1538.40262	1548.21524	1557.91164	1567.79444
6/2/2023 12:25:09.30507	1518.55878	1528.39781	1538.40302	1548.21243	1557.90930	1567.79307
6/2/2023 12:25:09.80507	1518.55912	1528.39901	1538.40373	1548.21069	1557.90646	1567.78972
6/2/2023 12:25:10.30507	1518.55997	1528.39998	1538.40332	1548.21290	1557.90682	1567.78929
6/2/2023 12:25:10.80507	1518.55909	1528.40138	1538.40246	1548.21489	1557.90915	1567.79247
6/2/2023 12:25:11.30507	1518.56021	1528.40005	1538.40674	1548.21570	1557.91235	1567.79465
6/2/2023 12:25:11.80507	1518.55794	1528.39947	1538.40541	1548.21448	1557.91189	1567.79638
6/2/2023 12:25:12.30507	1518.55717	1528.39941	1538.40062	1548.21160	1557.90872	1567.79122
6/2/2023 12:25:12.80507	1518.55901	1528.39799	1538.40115	1548.21244	1557.90583	1567.78849
6/2/2023 12:25:13.30507	1518.56010	1528.40008	1538.40469	1548.21142	1557.90622	1567.78853
6/2/2023 12:25:13.80507	1518.56038	1528.40051	1538.40412	1548.21459	1557.91131	1567.79155
6/2/2023 12:25:14.30507	1518.55851	1528.39964	1538.40603	1548.21742	1557.91156	1567.79638
6/2/2023 12:25:14.80507	1518.55808	1528.39900	1538.40488	1548.21389	1557.91103	1567.79569
6/2/2023 12:25:15.30507	1518.55855	1528.39792	1538.40161	1548.21100	1557.90894	1567.78962
6/2/2023 12:25:15.80507	1518.55886	1528.39854	1538.40093	1548.21185	1557.90515	1567.78683
6/2/2023 12:25:16.30507	1518.56034	1528.39929	1538.40494	1548.21266	1557.90710	1567.79053
6/2/2023 12:25:16.80507	1518.55803	1528.40075	1538.40505	1548.21504	1557.91130	1567.79441
6/2/2023 12:25:17.30507	1518.55714	1528.40020	1538.40449	1548.21506	1557.91045	1567.79532
6/2/2023 12:25:17.80507	1518.55947	1528.39992	1538.40236	1548.21336	1557.90855	1567.79203
6/2/2023 12:25:18.30507	1518.55833	1528.39871	1538.40201	1548.21107	1557.90692	1567.78952
6/2/2023 12:25:18.80507	1518.55954	1528.39742	1538.40269	1548.21127	1557.90638	1567.78729
6/2/2023 12:25:19.30507	1518.55953	1528.39828	1538.40370	1548.21338	1557.90845	1567.79155
6/2/2023 12:25:19.80507	1518.55888	1528.40106	1538.40388	1548.21527	1557.91007	1567.79232
6/2/2023 12:25:20.30507	1518.55997	1528.39872	1538.40316	1548.21427	1557.91162	1567.79405
6/2/2023 12:25:20.80507	1518.55910	1528.39879	1538.40180	1548.21310	1557.90895	1567.79452
6/2/2023 12:25:21.30507	1518.55702	1528.39856	1538.40221	1548.21205	1557.90837	1567.79049
6/2/2023 12:25:21.80507	1518.55829	1528.39964	1538.40255	1548.21190	1557.90631	1567.78804
6/2/2023 12:25:22.30507	1518.56060	1528.39937	1538.40343	1548.21319	1557.90780	1567.78960
6/2/2023 12:25:22.80507	1518.55802	1528.39789	1538.40501	1548.21354	1557.91090	1567.79402
6/2/2023 12:25:23.30507	1518.55789	1528.40060	1538.40396	1548.21390	1557.91043	1567.79512
6/2/2023 12:25:23.80507	1518.55624	1528.39691	1538.40201	1548.21095	1557.90747	1567.79251
6/2/2023 12:25:24.30507	1518.55926	1528.39943	1538.40153	1548.21183	1557.90770	1567.78857
6/2/2023 12:25:24.80507	1518.55899	1528.39923	1538.40213	1548.21063	1557.90603	1567.78847
6/2/2023 12:25:25.30507	1518.55949	1528.39879	1538.40396	1548.21264	1557.90863	1567.79118
6/2/2023 12:25:25.80507	1518.55837	1528.39858	1538.40303	1548.21399	1557.90965	1567.79470
6/2/2023 12:25:26.30507	1518.55755	1528.39753	1538.40361	1548.21239	1557.90838	1567.79273
6/2/2023 12:25:26.80507	1518.55979	1528.39692	1538.40141	1548.21168	1557.90878	1567.79113
6/2/2023 12:25:27.30507	1518.55813	1528.39863	1538.40306	1548.21130	1557.90757	1567.79002
6/2/2023 12:25:27.80507	1518.55798	1528.39914	1538.40190	1548.21109	1557.90721	1567.79021
6/2/2023 12:25:28.30507	1518.55795	1528.39864	1538.40250	1548.21277	1557.91038	1567.78991
6/2/2023 12:25:28.80507	1518.55932	1528.39837	1538.40180	1548.21244	1557.91101	1567.79141
6/2/2023 12:25:29.30507	1518.55695	1528.39813	1538.40205	1548.21251	1557.90881	1567.79280
6/2/2023 12:25:29.80507	1518.55524	1528.39783	1538.40114	1548.21365	1557.90646	1567.79190
6/2/2023 12:25:30.30507	1518.55711	1528.39731	1538.40169	1548.21094	1557.90715	1567.78924
6/2/2023 12:25:30.80507	1518.55809	1528.39957	1538.40176	1548.21208	1557.90563	1567.78872
6/2/2023 12:25:31.30507	1518.56006	1528.39889	1538.40207	1548.21290	1557.91026	1567.79097
6/2/2023 12:25:31.80507	1518.55749	1528.39854	1538.40274	1548.21333	1557.90874	1567.79331
6/2/2023 12:25:32.30507	1518.55712	1528.39801	1538.40297	1548.21290	1557.90870	1567.79317
6/2/2023 12:25:32.80507	1518.55635	1528.39808	1538.40142	1548.21072	1557.90693	1567.78972
6/2/2023 12:25:33.30507	1518.55599	1528.39793	1538.40118	1548.21122	1557.90773	1567.78731
6/2/2023 12:25:33.80507	1518.55809	1528.39810	1538.40225	1548.21204	1557.90982	1567.78973
6/2/2023 12:25:34.30507	1518.55880	1528.39978	1538.40264	1548.21218	1557.90986	1567.79061
6/2/2023 12:25:34.80507	1518.55784	1528.39740	1538.40328	1548.21120	1557.90865	1567.79271
6/2/2023 12:25:35.30507	1518.55682	1528.39723	1538.40207	1548.21248	1557.90811	1567.79108
6/2/2023 12:25:35.80507	1518.55857	1528.39680	1538.40180	1548.21142	1557.90649	1567.79134
6/2/2023 12:25:36.30507	1518.55722	1528.39752	1538.40169	1548.21119	1557.90663	1567.78931
6/2/2023 12:25:36.80507	1518.55776	1528.39871	1538.40136	1548.21245	1557.90738	1567.78874
6/2/2023 12:25:37.30507	1518.55807	1528.39876	1538.40069	1548.21193	1557.90914	1567.79137
6/2/2023 12:25:37.80507	1518.55552	1528.39695	1538.40401	1548.21145	1557.90878	1567.79156
6/2/2023 12:25:38.30507	1518.55612	1528.39689	1538.40175	1548.21038	1557.90765	1567.79146
6/2/2023 12:25:38.80507	1518.55665	1528.39749	1538.40075	1548.20982	1557.90639	1567.78969
6/2/2023 12:25:39.30507	1518.55553	1528.39869	1538.40017	1548.20989	1557.90742	1567.78865
6/2/2023 12:25:39.80507	1518.55684	1528.39839	1538.40206	1548.21117	1557.90725	1567.78917
6/2/2023 12:25:40.30507	1518.55783	1528.39760	1538.40244	1548.21305	1557.90799	1567.79164
6/2/2023 12:25:40.80507	1518.55531	1528.39812	1538.40096	1548.21274	1557.90886	1567.79124
6/2/2023 12:25:41.30507	1518.55620	1528.39840	1538.40092	1548.20987	1557.90704	1567.79123
6/2/2023 12:25:41.80507	1518.55820	1528.39674	1538.40077	1548.21101	1557.90640	1567.78910
6/2/2023 12:25:42.30507	1518.55748	1528.39788	1538.39968	1548.21195	1557.90744	1567.78928
6/2/2023 12:25:42.80507	1518.55681	1528.39725	1538.39966	1548.21062	1557.90747	1567.79131
6/2/2023 12:25:43.30507	1518.55603	1528.39685	1538.40127	1548.21144	1557.90802	1567.79241
6/2/2023 12:25:43.80507	1518.55769	1528.39795	1538.40181	1548.21184	1557.90783	1567.78914
6/2/2023 12:25:44.30507	1518.55718	1528.39672	1538.39977	1548.21114	1557.90754	1567.78905
6/2/2023 12:25:44.80507	1518.55534	1528.39705	1538.40114	1548.20943	1557.90634	1567.78882
6/2/2023 12:25:45.30507	1518.55651	1528.39604	1538.40159	1548.20991	1557.90550	1567.79036
6/2/2023 12:25:45.80507	1518.55753	1528.39724	1538.40208	1548.21157	1557.90569	1567.78976
6/2/2023 12:25:46.30507	1518.55704	1528.39750	1538.40112	1548.21150	1557.90815	1567.78905
6/2/2023 12:25:46.80507	1518.55601	1528.39662	1538.40042	1548.21024	1557.90853	1567.78970
6/2/2023 12:25:47.30507	1518.55606	1528.39585	1538.39980	1548.21086	1557.90752	1567.78900
6/2/2023 12:25:47.80507	1518.55623	1528.39584	1538.40027	1548.20987	1557.90551	1567.78806
6/2/2023 12:25:48.30507	1518.55555	1528.39785	1538.39974	1548.21123	1557.90628	1567.78956
6/2/2023 12:25:48.80507	1518.55805	1528.39643	1538.40190	1548.21110	1557.90677	1567.78980
6/2/2023 12:25:49.30507	1518.55569	1528.39805	1538.40302	1548.21151	1557.90653	1567.79213
6/2/2023 12:25:49.80507	1518.55486	1528.39599	1538.40172	1548.20931	1557.90737	1567.78875
6/2/2023 12:25:50.30507	1518.55694	1528.39494	1538.39950	1548.20854	1557.90668	1567.78756
6/2/2023 12:25:50.80507	1518.55640	1528.39607	1538.39958	1548.21006	1557.90620	1567.78755
6/2/2023 12:25:51.30507	1518.55745	1528.39610	1538.40053	1548.20942	1557.90560	1567.78949
6/2/2023 12:25:51.80507	1518.55583	1528.39635	1538.40103	1548.21222	1557.90658	1567.79106
6/2/2023 12:25:52.30507	1518.55630	1528.39683	1538.39997	1548.21098	1557.90780	1567.78882
6/2/2023 12:25:52.80507	1518.55549	1528.39745	1538.39855	1548.20969	1557.90712	1567.78827
6/2/2023 12:25:53.30507	1518.55479	1528.39514	1538.40047	1548.21050	1557.90673	1567.78955
6/2/2023 12:25:53.80507	1518.55658	1528.39617	1538.40021	1548.20920	1557.90529	1567.78976
6/2/2023 12:25:54.30507	1518.55683	1528.39625	1538.40060	1548.21063	1557.90646	1567.78842
6/2/2023 12:25:54.80507	1518.55579	1528.39660	1538.40000	1548.21130	1557.90741	1567.78808
6/2/2023 12:25:55.30507	1518.55497	1528.39569	1538.40081	1548.21142	1557.90670	1567.79053
6/2/2023 12:25:55.80507	1518.55605	1528.39587	1538.39932	1548.21058	1557.90649	1567.79019
6/2/2023 12:25:56.30507	1518.55480	1528.39559	1538.39890	1548.21009	1557.90564	1567.78917
6/2/2023 12:25:56.80507	1518.55391	1528.39625	1538.39961	1548.20886	1557.90537	1567.78918
6/2/2023 12:25:57.30507	1518.55459	1528.39668	1538.40035	1548.20863	1557.90642	1567.78898
6/2/2023 12:25:57.80507	1518.55568	1528.39507	1538.40115	1548.21057	1557.90552	1567.79000
6/2/2023 12:25:58.30507	1518.55394	1528.39752	1538.39901	1548.20987	1557.90640	1567.79030
6/2/2023 12:25:58.80507	1518.55642	1528.39548	1538.40059	1548.20993	1557.90645	1567.78735
6/2/2023 12:25:59.30507	1518.55445	1528.39582	1538.39926	1548.20944	1557.90622	1567.78819
6/2/2023 12:25:59.80507	1518.55496	1528.39640	1538.39887	1548.20983	1557.90613	1567.79001
6/2/2023 12:26:00.30507	1518.55535	1528.39602	1538.40139	1548.21113	1557.90651	1567.79062
6/2/2023 12:26:00.80507	1518.55459	1528.39517	1538.40019	1548.20974	1557.90633	1567.78864
6/2/2023 12:26:01.30507	1518.55617	1528.39674	1538.39938	1548.20956	1557.90692	1567.78688
6/2/2023 12:26:01.80507	1518.55440	1528.39663	1538.39826	1548.20992	1557.90453	1567.78793
6/2/2023 12:26:02.30507	1518.55454	1528.39541	1538.39985	1548.20877	1557.90668	1567.78805
6/2/2023 12:26:02.80507	1518.55547	1528.39505	1538.40315	1548.20939	1557.90465	1567.78986
6/2/2023 12:26:03.30507	1518.55435	1528.39662	1538.40076	1548.20931	1557.90631	1567.78850
6/2/2023 12:26:03.80507	1518.55541	1528.39733	1538.39918	1548.21087	1557.90692	1567.78750
6/2/2023 12:26:04.30507	1518.55616	1528.39643	1538.39818	1548.20900	1557.90624	1567.78915
6/2/2023 12:26:04.80507	1518.55541	1528.39558	1538.39960	1548.20962	1557.90673	1567.79020
6/2/2023 12:26:05.30507	1518.55538	1528.39572	1538.39994	1548.20970	1557.90446	1567.78926
6/2/2023 12:26:05.80507	1518.55359	1528.39528	1538.40013	1548.20909	1557.90510	1567.78944
6/2/2023 12:26:06.30507	1518.55483	1528.39613	1538.39861	1548.21137	1557.90757	1567.78854
6/2/2023 12:26:06.80507	1518.55515	1528.39605	1538.40112	1548.21026	1557.90620	1567.78905
6/2/2023 12:26:07.30507	1518.55487	1528.39404	1538.39981	1548.20898	1557.90423	1567.79040
6/2/2023 12:26:07.80507	1518.55426	1528.39537	1538.40049	1548.20708	1557.90488	1567.78967
6/2/2023 12:26:08.30507	1518.55552	1528.39596	1538.39875	1548.20737	1557.90570	1567.78740
6/2/2023 12:26:08.80507	1518.55305	1528.39531	1538.39877	1548.21005	1557.90554	1567.78986
6/2/2023 12:26:09.30507	1518.55502	1528.39546	1538.40067	1548.21000	1557.90539	1567.78982
6/2/2023 12:26:09.80507	1518.55419	1528.39665	1538.39875	1548.20840	1557.90535	1567.78832
6/2/2023 12:26:10.30507	1518.55647	1528.39462	1538.39978	1548.20976	1557.90631	1567.78795
6/2/2023 12:26:10.80507	1518.55412	1528.39526	1538.39867	1548.20893	1557.90548	1567.78835
6/2/2023 12:26:11.30507	1518.55494	1528.39523	1538.40003	1548.20872	1557.90504	1567.78724
6/2/2023 12:26:11.80507	1518.55402	1528.39274	1538.39938	1548.20969	1557.90487	1567.78860
6/2/2023 12:26:12.30507	1518.55492	1528.39582	1538.39885	1548.20882	1557.90580	1567.78851
