Timestamp	Lambda1	Lambda2	Lambda3	Lambda4	Lambda5	Lambda6
6/2/2023 13:01:25.87040	1518.19678	1528.08012	1538.10045	1547.91696	1557.61821	1567.50383
6/2/2023 13:01:26.37040	1518.19636	1528.08112	1538.10138	1547.91696	1557.61865	1567.50435
6/2/2023 13:01:26.87040	1518.19607	1528.08069	1538.10115	1547.91787	1557.61875	1567.50365
6/2/2023 13:01:27.37040	1518.19625	1528.07992	1538.10100	1547.91568	1557.61900	1567.50453
6/2/2023 13:01:27.87040	1518.19752	1528.08052	1538.10141	1547.91767	1557.61783	1567.50354
6/2/2023 13:01:28.37040	1518.19409	1528.08092	1538.10067	1547.91621	1557.61793	1567.50399
6/2/2023 13:01:28.87040	1518.19696	1528.07842	1538.10035	1547.91750	1557.61921	1567.50427
6/2/2023 13:01:29.37040	1518.19603	1528.07992	1538.10045	1547.91639	1557.61749	1567.50389
6/2/2023 13:01:29.87040	1518.19765	1528.07958	1538.09985	1547.91486	1557.61687	1567.50492
6/2/2023 13:01:30.37040	1518.19609	1528.08075	1538.10041	1547.91635	1557.61693	1567.50460
6/2/2023 13:01:30.87040	1518.19811	1528.08050	1538.10095	1547.91796	1557.61965	1567.50377
6/2/2023 13:01:31.37040	1518.19521	1528.07899	1538.10051	1547.91506	1557.61782	1567.50520
6/2/2023 13:01:31.87040	1518.19573	1528.08021	1538.10052	1547.91672	1557.61806	1567.50529
6/2/2023 13:01:32.37040	1518.19580	1528.08029	1538.09901	1547.91657	1557.61727	1567.50496
6/2/2023 13:01:32.87040	1518.19590	1528.08007	1538.10050	1547.91687	1557.61731	1567.50445
6/2/2023 13:01:33.37040	1518.19653	1528.08038	1538.10157	1547.91723	1557.61810	1567.50336
6/2/2023 13:01:33.87040	1518.19496	1528.08107	1538.10107	1547.91695	1557.61676	1567.50396
6/2/2023 13:01:34.37040	1518.19899	1528.07979	1538.09989	1547.91806	1557.61699	1567.50360
6/2/2023 13:01:34.87040	1518.19726	1528.07982	1538.10186	1547.91637	1557.61922	1567.50460
6/2/2023 13:01:35.37040	1518.19548	1528.07982	1538.10063	1547.91766	1557.61885	1567.50360
6/2/2023 13:01:35.87040	1518.19668	1528.08184	1538.10155	1547.91842	1557.61792	1567.50298
6/2/2023 13:01:36.37040	1518.19507	1528.07960	1538.09971	1547.91560	1557.61796	1567.50400
6/2/2023 13:01:36.87040	1518.19631	1528.07979	1538.10017	1547.91694	1557.61781	1567.50430
6/2/2023 13:01:37.37040	1518.19674	1528.07968	1538.09996	1547.91729	1557.61860	1567.50421
6/2/2023 13:01:37.87040	1518.19511	1528.08107	1538.10106	1547.91804	1557.61891	1567.50392
6/2/2023 13:01:38.37040	1518.19599	1528.08001	1538.10083	1547.91757	1557.61900	1567.50301
6/2/2023 13:01:38.87040	1518.19603	1528.08103	1538.10054	1547.91459	1557.61730	1567.50453
6/2/2023 13:01:39.37040	1518.19603	1528.07997	1538.10118	1547.91703	1557.61761	1567.50338
6/2/2023 13:01:39.87040	1518.19557	1528.08172	1538.10057	1547.91682	1557.61685	1567.50331
6/2/2023 13:01:40.37040	1518.19500	1528.08130	1538.09958	1547.91660	1557.61769	1567.50397
6/2/2023 13:01:40.87040	1518.19905	1528.07986	1538.10066	1547.91776	1557.61881	1567.50443
6/2/2023 13:01:41.37040	1518.19654	1528.08155	1538.10034	1547.91765	1557.61741	1567.50503
6/2/2023 13:01:41.87040	1518.19640	1528.08145	1538.10033	1547.91684	1557.61640	1567.50438
6/2/2023 13:01:42.37040	1518.20048	1528.08190	1538.10086	1547.91771	1557.61816	1567.50286
6/2/2023 13:01:42.87040	1518.19486	1528.08043	1538.10067	1547.91592	1557.61812	1567.50284
6/2/2023 13:01:43.37040	1518.19249	1528.08063	1538.10057	1547.91737	1557.61747	1567.50312
6/2/2023 13:01:43.87040	1518.19734	1528.08129	1538.09918	1547.91556	1557.61765	1567.50415
6/2/2023 13:01:44.37040	1518.19583	1528.08059	1538.10025	1547.91615	1557.61758	1567.50498
6/2/2023 13:01:44.87040	1518.19692	1528.08007	1538.10060	1547.91649	1557.61668	1567.50454
6/2/2023 13:01:45.37040	1518.19665	1528.07799	1538.10093	1547.91645	1557.61597	1567.50550
6/2/2023 13:01:45.87040	1518.19685	1528.07843	1538.10179	1547.91695	1557.61818	1567.50400
6/2/2023 13:01:46.37040	1518.19674	1528.08029	1538.09823	1547.91656	1557.61706	1567.50405
6/2/2023 13:01:46.87040	1518.19418	1528.08002	1538.10004	1547.91618	1557.61622	1567.50353
6/2/2023 13:01:47.37040	1518.19474	1528.07972	1538.09929	1547.91658	1557.61744	1567.50449
6/2/2023 13:01:47.87040	1518.19656	1528.07992	1538.10165	1547.91752	1557.61828	1567.50306
6/2/2023 13:01:48.37040	1518.19560	1528.08112	1538.10089	1547.91690	1557.61769	1567.50436
6/2/2023 13:01:48.87040	1518.19577	1528.08265	1538.10079	1547.91719	1557.61659	1567.50425
6/2/2023 13:01:49.37040	1518.19840	1528.07944	1538.10039	1547.91764	1557.61885	1567.50332
6/2/2023 13:01:49.87040	1518.19354	1528.07952	1538.10070	1547.91650	1557.61787	1567.50369
6/2/2023 13:01:50.37040	1518.19648	1528.07976	1538.10130	1547.91669	1557.61823	1567.50385
6/2/2023 13:01:50.87040	1518.19370	1528.08050	1538.10107	1547.91604	1557.61686	1567.50378
6/2/2023 13:01:51.37040	1518.19745	1528.08015	1538.10026	1547.91633	1557.61838	1567.50386
6/2/2023 13:01:51.87040	1518.19510	1528.08034	1538.10140	1547.91537	1557.61707	1567.50416
6/2/2023 13:01:52.37040	1518.19656	1528.07998	1538.09920	1547.91541	1557.61787	1567.50420
6/2/2023 13:01:52.87040	1518.19634	1528.08023	1538.10017	1547.91672	1557.61712	1567.50436
6/2/2023 13:01:53.37040	1518.19726	1528.08109	1538.10093	1547.91679	1557.61854	1567.50290
6/2/2023 13:01:53.87040	1518.19562	1528.07954	1538.09997	1547.91614	1557.61738	1567.50497
6/2/2023 13:01:54.37040	1518.19613	1528.07947	1538.09976	1547.91742	1557.61838	1567.50505
6/2/2023 13:01:54.87040	1518.19559	1528.07901	1538.10081	1547.91478	1557.61752	1567.50411
6/2/2023 13:01:55.37040	1518.19520	1528.08066	1538.10147	1547.91708	1557.61868	1567.50283
6/2/2023 13:01:55.87040	1518.19634	1528.07948	1538.10128	1547.91578	1557.61692	1567.50451
6/2/2023 13:01:56.37040	1518.19762	1528.08083	1538.10123	1547.91674	1557.61735	1567.50365
6/2/2023 13:01:56.87040	1518.19664	1528.07942	1538.09978	1547.91587	1557.61839	1567.50358
6/2/2023 13:01:57.37040	1518.19548	1528.07847	1538.10073	1547.91599	1557.61819	1567.50301
6/2/2023 13:01:57.87040	1518.19570	1528.08045	1538.10045	1547.91668	1557.61788	1567.50304
6/2/2023 13:01:58.37040	1518.19857	1528.07899	1538.09970	1547.91694	1557.61798	1567.50336
6/2/2023 13:01:58.87040	1518.19503	1528.08049	1538.10057	1547.91737	1557.61776	1567.50278
6/2/2023 13:01:59.37040	1518.19546	1528.08048	1538.10268	1547.91612	1557.61765	1567.50401
6/2/2023 13:01:59.87040	1518.19518	1528.08081	1538.09905	1547.91562	1557.61670	1567.50407
6/2/2023 13:02:00.37040	1518.19469	1528.07933	1538.10132	1547.91437	1557.61727	1567.50386
6/2/2023 13:02:00.87040	1518.19754	1528.07879	1538.10098	1547.91794	1557.61794	1567.50366
6/2/2023 13:02:01.37040	1518.19533	1528.08033	1538.09941	1547.91764	1557.61645	1567.50431
6/2/2023 13:02:01.87040	1518.19619	1528.08011	1538.10008	1547.91656	1557.61625	1567.50401
6/2/2023 13:02:02.37040	1518.19857	1528.07854	1538.10088	1547.91709	1557.61942	1567.50311
6/2/2023 13:02:02.87040	1518.19424	1528.07986	1538.09953	1547.91648	1557.61828	1567.50372
6/2/2023 13:02:03.37040	1518.20027	1528.08023	1538.09986	1547.91521	1557.61746	1567.50416
6/2/2023 13:02:03.87040	1518.19739	1528.07971	1538.10091	1547.91724	1557.61824	1567.50280
6/2/2023 13:02:04.37040	1518.19522	1528.07965	1538.09900	1547.91611	1557.61613	1567.50286
6/2/2023 13:02:04.87040	1518.19637	1528.07945	1538.09885	1547.91604	1557.61806	1567.50368
6/2/2023 13:02:05.37040	1518.19740	1528.07989	1538.10002	1547.91555	1557.61761	1567.50221
6/2/2023 13:02:05.87040	1518.19551	1528.07943	1538.10014	1547.91602	1557.61676	1567.50411
6/2/2023 13:02:06.37040	1518.19602	1528.07872	1538.09986	1547.91665	1557.61804	1567.50450
